dialog_id,turn,speaker,text,emotion,cause_turn,cause_span,cause_type,explanation
tr_4110,4,B,"Yeah, I hope so. Well, take it easy.",happy,"[1, 2]","['It was nice talking to you', 'Nice meeting you']",['hybrid'],
tr_4110,5,A,You too.,happy,"[1, 4]","['It was nice talking to you', 'take it easy.']",['hybrid'],
tr_3432,1,A,Haven't seen you for a long time,happy,['b'],['b'],['latent'],
tr_3432,2,B,I've been away on a vacation.,happy,[1],"[""Haven't seen you for a long time""]",['inter-personal'],
tr_3432,3,A,I bet you had a wonderful time,happy,[2],"[""I've been away on a vacation.""]",['inter-personal'],
tr_3432,4,B,"Yeah, beautiful sunshine, pleasant scenery and many new friends",happy,"[3, 4]","['I bet you had a wonderful time', 'Yeah , beautiful sunshine , pleasant scenery and many new friends']","['no-context', 'inter-personal']",
tr_3432,5,A,Sounds great,happy,[4],"['Yeah , beautiful sunshine , pleasant scenery and many new friends']",['inter-personal'],
tr_943,1,A,"how was school today, Dominic?",neutral,,,,
tr_943,2,B,I hate school!,disgust,[2],['I hate school!'],['no-context'],
tr_943,3,A,why? What happened?,surprise,[2],['I hate school!'],['inter-personal'],
tr_943,4,B,I messed up my mid-term exam so badly today!,disgust,[4],['I messed up my mid-term exam so badly today!'],['no-context'],
tr_943,5,A,it's just one exam. Can you re-take the exam?,neutral,,,,
tr_943,6,B,"yes, but it's so humiliating! I don't want my friends to know I failed!",disgust,"[6, 6]","[""it's so humiliating!"", ""yes , but it's so humiliating! I don't want my friends to know I failed!""]",['no-context'],
tr_943,7,A,why didn't you do a good job?,neutral,,,,
tr_943,8,B,"I don't know. I sat down in my seat, looked at my paper, and then my mind just went totally blank.",neutral,,,,
tr_943,9,A,do you think you studied enough for the exam?,neutral,,,,
tr_943,10,B,no...,neutral,,,,
tr_943,11,A,what did you do last night?,neutral,,,,
tr_943,12,B,I watched TV.,neutral,,,,
tr_943,13,A,did you study at all last night for your exam?,neutral,,,,
tr_943,14,B,"no, not really.",neutral,,,,
tr_943,15,A,"I am sure if you had studied, you would have done well. When can you re-take your exam?",neutral,,,,
tr_943,16,B,tomorrow.,neutral,,,,
tr_943,17,A,alright. Get out your books and I'll help you prepare.,neutral,,,,
tr_3894,1,A,My goodness! She is thirty seconds faster than the world record in 5000 metres race.,surprise,[1],['She is thirty seconds faster than the world record'],['no-context'],
tr_3894,2,B,"Excuse me, what did you say?",surprise,[1],['She is thirty seconds faster than the world record'],['inter-personal'],
tr_3894,3,A,A Chinese girl has broken the world record in the Olympic Games.,happy,[3],['girl has broken the world record'],['no-context'],
tr_3894,4,B,That's incredible. I can't believe it.,surprise,"[1, 3, 4]","['She is thirty seconds faster than the world record', 'girl has broken the world record', ""I can't believe it.""]","['no-context', 'inter-personal']",
tr_3894,5,A,You have to. It is sure.,happy,[3],['girl has broken the world record'],['self-contagion'],
tr_3894,6,B,How amazing!,surprise,"[1, 3, 4, 5]","['She is thirty seconds faster than the world record', 'girl has broken the world record', ""I can't believe it."", 'It is sure.']",['hybrid'],
tr_1561,1,A,You look like a basket case.,neutral,,,,
tr_1561,2,B,I'm not surprised.,neutral,,,,
tr_1561,3,A,What's the problem?,neutral,,,,
tr_1561,4,B,My brother in-law just dropped in from the states.,disgust,[4],['My brother in-law just dropped in from the states.'],['no-context'],
tr_1561,5,A,"Yeah, and?",neutral,,,,
tr_1561,6,B,"I decided to put him up while he's here, big mistake!",disgust,"[4, 6]","['My brother in-law just dropped in from the states.', ""I decided to put him up while he's here""]","['no-context', 'self-contagion']",
tr_1561,7,A,Why?,neutral,,,,
tr_1561,8,B,"He's lazy. I tried being a good host, but if you give him an inch, he'll take a mile.",disgust,"[4, 6, 8]","['My brother in-law just dropped in from the states.', ""I decided to put him up while he's here"", ""if you give him an inch , he'll take a mile.""]","['no-context', 'self-contagion']",
tr_1561,9,A,I guess you think twice next time he comes.,neutral,,,,
tr_1561,10,B,You can say that again.,neutral,,,,
tr_1561,11,A,So how long has he here for?,neutral,,,,
tr_1561,12,B,Two weeks. If he thinks I'll put up with his attitude that long he's got another thing coming.,neutral,,,,
tr_1561,13,A,"Well, I know you do the right thing.",neutral,,,,
tr_4533,1,A,What are you doing?,neutral,,,,
tr_4533,2,B,What am I doing? What am I doing? don't you know what day it is?,neutral,,,,
tr_4533,3,A,Mumm. no.,neutral,,,,
tr_4533,4,B,It's only the day when the world's biggest sporting event is kicking off.,neutral,,,,
tr_4533,5,A,What?,neutral,,,,
tr_4533,6,B,The World Cup! The first match is today! It's Mexico vs. South Africa! It's going to be a really good match! Both teams have a very strong offense and have skilled players. I think that South Africa,happy,[6],"[""It's going to be a really good match!""]",['no-context'],
tr_4533,7,A,I have no idea what you're talking about. The only sporting event we watch at home is the Super Bowl.,surprise,"[6, 7]","[""It's going to be a really good match!"", 'The only sporting event we watch at home is the Super Bowl.']","['no-context', 'inter-personal']",
tr_4533,8,B,"This is bigger than the Super Bowl, man! Teams from 32 countries compete against each other every four years and fight to win that trophy. They first start in a group stage with bigger groups, each g",neutral,,,,
tr_4533,9,A,"Sounds interesting, but soccer doesn't really appeal to me.",neutral,,,,
tr_4533,10,B,"Are you kidding? Over seven hundred million people watched the final match of the World Cup! It's a very exciting and nerve wracking sport! Each nation is cheering on their team, hoping they will bec",surprise,[9],"[""soccer doesn't really appeal to me.""]",['inter-personal'],
tr_4533,11,A,"All I know about soccer is that you can't use your hands and that players are always falling down, trying to get a free kick or penalty kick. It seems like a sissy sport to me!",disgust,"[10, 11]","[""It's a very exciting and nerve wracking sport!"", 'It seems like a sissy sport to me!']","['no-context', 'inter-personal']",
tr_4533,12,B,"Whatever, I'm going to go watch the opening match.",neutral,,,,
tr_5297,1,A,do you remember where you were for the terrorist attacks on 9-11?,neutral,,,,
tr_5297,2,B,"yes, I was in my apartment in Beijing. Where were you?",neutral,,,,
tr_5297,3,A,I was at home with my parents in New York City.,neutral,,,,
tr_5297,4,B,really? Did you see the hijacked planes crash into and destroy the twin towers?,neutral,,,,
tr_5297,5,A,"I didn't see the crash itself, but I did see the smoke and everything afterwards from my parents'apartment building.",neutral,,,,
tr_5297,6,B,that must have been horrible. Did you go out at all that day to see what was going on?,neutral,,,,
tr_5297,7,A,"no, we decided to stay in our apartment. With all the buses out of service and the underground trains at a halt, many people had no choice but to walk home. It was utter chaos.",neutral,,,,
tr_5297,8,B,did you know anyone who worked in the World Trade Center?,neutral,,,,
tr_5297,9,A,"yes, my uncle's firm had an office in one of the towers.",neutral,,,,
tr_5297,10,B,did he survive?,neutral,,,,
tr_5297,11,A,"unfortunately, he wasn't able to evacuate in time. He ended up dying in the tower.",sad,[11],"[""unfortunately , he wasn't able to evacuate in time. He ended up dying in the tower.""]",['no-context'],
tr_5297,12,B,I'm sorry. That must have really been a nightmarish day for you and your family.,sad,"[11, 12]","['He ended up dying in the tower.', 'a nightmarish day for you and your family.']","['no-context', 'inter-personal']",
tr_5297,13,A,it was. The hijackers didn't have any respect for human life not even their own.,angry,[13],"[""hijackers didn't have any respect for human life not even their own.""]",['no-context'],
tr_5297,14,B,terrorist acts are deliberate and deadly and can affect every walk of life.,neutral,,,,
tr_19,1,B,Can I help you?,neutral,,,,
tr_19,2,A,"I hope so. I'm looking for some material for a paper I'm writing, and I'm not quite sure where to look.",neutral,,,,
tr_19,3,B,I'll certainly try to help you. What topic is your paper on?,neutral,,,,
tr_19,4,A,My paper is on the influence of television on children.,neutral,,,,
tr_19,5,B,There are several possible sources you might use for that topic. I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television.,neutral,,,,
tr_19,6,A,Thank you for you help.,happy,[5],['There are several possible sources you might use for that topic. I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television.'],['inter-personal'],
tr_4248,1,A,Have you seen that house?,happy,['b'],['b'],['latent'],Loves the house as mentioned in utterance 3
tr_4248,2,B,"Yes, it looks interesting.",happy,[2],['it looks interesting.'],['no-context'],
tr_4248,3,A,You're right. I love it very much.,happy,"[2, 3]","['it looks interesting.', 'I love it very much.']","['no-context', 'inter-personal']",
tr_4248,4,B,It must be old.,neutral,,,,
tr_4248,5,A,At least more than 100 years old.,neutral,,,,
tr_4248,6,B,Let's enter it!,neutral,,,,
tr_4248,7,A,I can't open the door.,neutral,,,,
tr_4248,8,B,It must be locked.,neutral,,,,
tr_4248,9,A,Let me ask the old woman in that reception office.,neutral,,,,
tr_4248,10,B,She can't answer you.,neutral,,,,
tr_4248,11,A,She must be deaf.,neutral,,,,
tr_4248,12,B,It must be a haunted house. Are you frightened?,neutral,,,,
tr_4248,13,A,Frightened? You must be joking.,surprise,[12],['Are you frightened?'],['inter-personal'],
tr_2317,1,A,Where are you going this weekend?,neutral,,,,
tr_2317,2,B,I have no idea. Maybe I will sleep for the whole day.,neutral,,,,
tr_2317,3,A,So boring! Shall we go out for a picnic with my friends?,happy,[3],['Shall we go out for a picnic with my friends?'],['no-context'],
tr_2317,4,B,Sounds interesting. Who are the other people?,happy,"[3, 4]","['Shall we go out for a picnic with my friends?', 'Sounds interesting.']","['no-context', 'inter-personal']",
tr_2317,5,A,"Fred and David, my college class mates and Rachel.",happy,[4],['Sounds interesting.'],['inter-personal'],
tr_2317,6,B,Gorgeous! What should I bring on that day?,happy,"[3, 4, 5]","['Shall we go out for a picnic with my friends?', 'Sounds interesting.', 'Fred and David , my college class mates and Rachel.']",['hybrid'],
tr_2317,7,A,Your tent and enough food and water.,happy,"[3, 4, 5, 6]","['Shall we go out for a picnic with my friends?', 'Sounds interesting.', 'Fred and David , my college class mates and Rachel.', 'Gorgeous!']",['hybrid'],
tr_2317,8,B,"You mean, we can do many other things after the picnic, right?",happy,"[3, 4, 5, 7, 8]","['Shall we go out for a picnic with my friends?', 'Sounds interesting.', 'Fred and David , my college class mates and Rachel.', 'Your tent and enough food and water.', 'we can do many other things after the picnic']","['no-context', 'hybrid']",
tr_2317,9,A,"We can go fishing, chatting and camping.",happy,"[3, 4, 5, 7, 8, 9]","['Shall we go out for a picnic with my friends?', 'Sounds interesting.', 'Fred and David , my college class mates and Rachel.', 'Your tent and enough food and water.', 'we can do many other things after the picnic', 'fishing , chatting and camping.']","['no-context', 'hybrid']",
tr_2317,10,B,What are we waiting for? Come on!,happy,"[3, 4, 5, 7, 8, 9]","['Shall we go out for a picnic with my friends?', 'Sounds interesting.', 'Fred and David , my college class mates and Rachel.', 'Your tent and enough food and water.', 'we can do many other things after the picnic', 'fishing , chatting and camping.']",['hybrid'],
tr_2317,11,A,Don't hurry. Wait for my call.,happy,"[3, 4, 5, 7, 8, 9, 10]","['Shall we go out for a picnic with my friends?', 'Sounds interesting.', 'Fred and David , my college class mates and Rachel.', 'Your tent and enough food and water.', 'we can do many other things after the picnic', 'fishing , chatting and camping.', 'What are we waiting for? Come on!']",['hybrid'],
tr_1452,1,A,"It's a fine day today, isn't it?",happy,[1],"[""It's a fine day today""]",['no-context'],
tr_1452,2,B,"Yes, it is. It's wonderful after the downpour.",happy,"[1, 2]","[""It's a fine day today"", ""It's wonderful""]","['no-context', 'inter-personal']",
tr_1452,3,A,How nice seeing the sun back again! The air is so fresh.,happy,"[1, 3]","[""It's a fine day today"", 'How nice seeing the sun back again! The air is so fresh.']","['no-context', 'self-contagion']",
tr_1452,4,B,I hope it stays nice like this for a long period of time.,neutral,,,,
tr_1452,5,A,"Well, the weather is so unpredictable this time of year.",neutral,,,,
tr_1452,6,B,You're right. We don't know what is going to be like tomorrow.,neutral,,,,
tr_1452,7,A,Look! It looks as if it is going to rain.,surprise,[7],['It looks as if it is going to rain'],['no-context'],
tr_1452,8,B,The weatherman predicts a fine day today.,neutral,,,,
tr_1452,9,A,The weather is often quite different from the weather forecast.,neutral,,,,
tr_3694,1,A,Did you hear what happened to Mike in Accounts?,neutral,,,,
tr_3694,2,B,No. What?,neutral,,,,
tr_3694,3,A,He got arrested on Friday night and spent the night in jail.,neutral,,,,
tr_3694,4,B,"No. Really, what happened?",surprise,[3],['He got arrested on Friday night and spent the night in jail.'],['inter-personal'],
tr_3694,5,A,"Well, it was all a big mistake, actually. He got home on Friday night really late, and apparently he'd been out drinking with some clients, so he was really drunk.",neutral,,,,
tr_3694,6,B,Was he out with the guys from the bank?,neutral,,,,
tr_3694,7,A,"Yes, I think so.",neutral,,,,
tr_3694,8,B,"Oh, yeah, they always get really drunk.",neutral,,,,
tr_3694,9,A,"Well, anyway, he'd somehow lost his wallet and his house keys, so he couldn't get in. He lives alone, you know.",neutral,,,,
tr_3694,10,B,"Oh, really. I thought he lived with his wife.",surprise,[9],"['He lives alone , you know.']",['inter-personal'],
tr_3694,11,A,"No, she left him last year.",neutral,,,,
tr_3694,12,B,"Oh, really? Do you know why?",surprise,[11],['she left him last year.'],['inter-personal'],
tr_3694,13,A,"Hang on, let me finish telling you what happened. Where was I?",neutral,,,,
tr_3694,14,B,He lost his wallet and keys.,neutral,,,,
tr_3694,15,A,"Oh yes, well, he tried to climb in through the bathroom window, but apparently he slipped and broke the glass with his foot. The neighbors heard him and thought a robbery was in progress, so they called the police.",neutral,,,,
tr_3694,16,B,"Oh, no.",neutral,,,,
tr_3694,17,A,"Yes. So when the cops arrived, they didn't believe his story",neutral,,,,
tr_3694,18,B,So then what happened?,neutral,,,,
tr_3694,19,A,"Well, when he sobered up, he called someone from work to come and bail him out.",neutral,,,,
tr_3694,20,B,"Well, that's a bit of a tricky situation.",neutral,,,,
tr_3694,21,A,"Yes, I know.",neutral,,,,
tr_1711,1,A,Are you ready to go the concert?,neutral,,,,
tr_1711,2,B,Yes. Should we go there by bus so we aren't late?,neutral,,,,
tr_1711,3,A,"Actually, why don't we go there by bike? We could get stuck in traffic if we travel by bus in rush hour.",happy,[3],"[""Actually , why don't we go there by bike?""]",['no-context'],Speaker is happy to travel by bike
tr_1711,4,B,"That's true. Cycling is good for our environment, too. Let me just get my helmet then.",happy,"[3, 4]","[""Actually , why don't we go there by bike?"", 'Cycling is good for our environment , too.']","['no-context', 'inter-personal']",
tr_1711,5,A,Is your helmet comfortable?,happy,[3],"[""Actually , why don't we go there by bike?""]",['self-contagion'],
tr_1711,6,B,"Not really, but I liked the design, so I got it.",happy,[6],"['I liked the design ,']",['no-context'],
tr_1711,7,A,Maybe you should think about getting a round helmet ; they're better.,happy,[7],"[""you should think about getting a round helmet ; they're better.""]",['no-context'],speaker feels comfortable in round helmet
tr_1711,8,B,I'll think about it.,happy,[7],"[""you should think about getting a round helmet ; they're better.""]",['inter-personal'],
tr_1711,9,A,Is that your new bicycle?,happy,[9],['Is that your new bicycle?'],['no-context'],
tr_1711,10,B,"Yes, my father gave it to me for my birthday. Do you like it?",happy,"[9, 10]","['Is that your new bicycle?', 'my father gave it to me for my birthday.']","['no-context', 'inter-personal']",
tr_1711,11,A,It's the newest 10 speed cycling mountain bike. These are really expensive!,happy,[11],"[""It's the newest 10 speed cycling mountain bike.""]",['no-context'],
tr_1711,12,B,Nothing but the best from my dad. I like everything about it except for the brakes. They are a bit sticky.,neutral,,,,
tr_1711,13,A,I can fix those for you. Is there anything else wrong with it?,neutral,,,,
tr_1711,14,B,"Well, my saddle is too low for me. Do you know how to change the height?",neutral,,,,
tr_1711,15,A,That's easy. It's important to have the saddle high enough so that your legs can extend fully when you are on your bicycle.,neutral,,,,
tr_1711,16,B,Is that why my knees have felt sore after every time I've ridden my bike?,neutral,,,,
tr_1711,17,A,It's possible. Give me a minute and I can fix these for you and then we can go.,neutral,,,,
tr_264,1,A,"Hey, Mary, can you cut that out?",neutral,,,,
tr_264,2,B,Cut what out I'm not doing anything.,neutral,,,,
tr_264,3,A,The tapping of your pen on your desk. It's driving me crazy.,angry,[3],['The tapping of your pen on your desk.'],['no-context'],
tr_264,4,B,Fine! By the way would you mind not slurping your coffee every time you have a cup!,angry,"[3, 4]","['The tapping of your pen on your desk.', 'slurping your coffee every time you have a cup!']","['no-context', 'inter-personal']",
tr_264,5,A,"I don't slurp my coffee. And plus, how can you hear it when you're shouting into your phone all the time?",angry,"[3, 5]","['The tapping of your pen on your desk.', ""you're shouting into your phone all the time?""]","['no-context', 'self-contagion']",
tr_264,6,B,You'Ve got to be kidding me! You're complaining about me talking on the phone when you go out for a cigarette break ten times a day to shoot the breeze?,angry,"[3, 4, 5, 6]","['The tapping of your pen on your desk.', 'slurping your coffee every time you have a cup!', ""how can you hear it when you're shouting into your phone all the time?"", ""You're complaining about me talking on the phone""]","['no-context', 'hybrid']",
tr_264,7,A,"Look, we have a lot of accumulated anger from working in these conditions, and it's probably okay to let off steam once in a while. But, it's probably not a good idea to keep it up I'm willing to forgive and forget and if you are.",neutral,,,,
tr_264,8,B,Fine. Let's call a truce. I'll try to more considerate and to keep the noise down.,neutral,,,,
tr_264,9,A,"Yeah, I'll try to do the same. So, I was wondering you wanna go out to dinner Friday night?",neutral,,,,
tr_1146,1,A,How's your thesis going?,neutral,,,,
tr_1146,2,B,"Don't mention it. The thesis due date is coming, but my thesis isn't even close to being done.",sad,[2],"[""The thesis due date is coming , but my thesis isn't even close to being done.""]",['no-context'],
tr_1146,3,A,"I've finished the first draft, but the professor said it's poorly written. I have to rewrite it. it's so depressing.",sad,[3],"[""the professor said it's poorly written. I have to rewrite it. it's so depressing.""]",['no-context'],
tr_1146,4,B,"Don't worry. Anyway, you are better than me.",sad,"[2, 3]","[""The thesis due date is coming , but my thesis isn't even close to being done."", ""the professor said it's poorly written. I have to rewrite it. it's so depressing.""]",['hybrid'],
tr_2469,1,A,"Doris, I'm glad you're home. I'm terrified. I don't know what to do!",fear,['b'],['b'],['latent'],Someone is stalking at the person that can be inferred from utterance 3
tr_2469,2,B,What is it? What happened?,neutral,,,,
tr_2469,3,A,I think someone is stalking me.,fear,"['b', 3]","['b', 'I think someone is stalking me.']","['latent', 'no-context']",
tr_2469,4,B,"No, it can't be. Really? Who?",surprise,"['b', 3]","['b', 'I think someone is stalking me.']","['latent', 'inter-personal']",
tr_2469,5,A,"I don't know. I saw him the first time Tuesday. He was at the cafe. I noticed he was looking at me a lot. Not just the usual looking, but staring. He just kept staring at me. He didn't stop.",fear,"['b', 3]","['b', 'I think someone is stalking me.']","['latent', 'self-contagion']",
tr_2469,6,B,What did you do?,neutral,,,,
tr_2469,7,A,"I didn't do anything. Finally, he left. But then I saw him again today. Outside the shoe store. Near the cafe. I went into a CD store and pretended I was looking at CD's. But then he came in too.",fear,"['b', 3]","['b', 'I think someone is stalking me.']","['latent', 'self-contagion']",
tr_2469,8,B,Did he leave when you left?,neutral,,,,
tr_2469,9,A,Yes. Then I noticed he was on the sidewalk behind me. He was following me.,neutral,,,,
tr_2469,10,B,What did you do?,neutral,,,,
tr_2469,11,A,He followed me all the way home!,fear,"['b', 3, 11]","['b', 'I think someone is stalking me.', 'He followed me all the way home!']","['latent', 'no-context', 'self-contagion']",
tr_2469,12,B,That's about five blocks. And around corners too. So he was definitely following you.,neutral,,,,
tr_2469,13,A,"Yes, he was. I'm not imagining it. Finally, just when I got home, I turned around and looked at him. He was just standing there. He didn't smile. He just stood there. It was so obvious. What should I do? I'm so scared. Can I call the police?",fear,"['b', 3, 11]","['b', 'I think someone is stalking me.', 'He followed me all the way home!']","['latent', 'self-contagion']",
tr_2469,14,B,"Actually, I don't think you can call the police. Not yet at least. He hasn't done anything. And probably the police will just ignore it. But if anything happens again, then maybe you should call.",neutral,,,,
tr_2469,15,A,Why can't I call the police now? He was definitely following me!,fear,"['b', 3, 11]","['b', 'I think someone is stalking me.', 'He followed me all the way home!']","['latent', 'self-contagion']",
tr_2469,16,B,Of course you can call the police if you want. That's not what I mean. I'm just saying that they probably won't do anything.,neutral,,,,
tr_2469,17,A,I suppose. What can they do? I don't even know who he is.,neutral,,,,
tr_2469,18,B,"Listen, Carol. Don't let this bother you too much. Probably it's nothing. Just keep your eyes open when you go out. If you see him a third time, and if he follows you again, then I think we should go to the police. But for now, just try not to worry.",neutral,,,,
tr_2469,19,A,Alright. And I won't go to that cafe for awhile.,neutral,,,,
tr_692,1,A,"Jim, I heard you'Ve bought a new computer.",happy,[1],"[""I heard you'Ve bought a new computer.""]",['no-context'],
tr_692,2,B,"Yes. Look, it is on my desk.",happy,[1],['bought a new computer.'],['inter-personal'],
tr_692,3,A,"Your office looks different with a computer. By the way, is it difficult to use a computer?",happy,[3],['Your office looks different with a computer.'],['no-context'],
tr_692,4,B,Not at all. It's a piece of cake.,neutral,,,,
tr_692,5,A,A piece of cake?,surprise,[5],['A piece of cake?'],['no-context'],
tr_692,6,B,Yes. It's easy and convenient to use a computer. But it takes a long time to really master it.,happy,"[1, 6]","['bought a new computer.', ""It's easy and convenient to use a computer.""]","['no-context', 'inter-personal']",
tr_3807,1,A,Could you help me prepare for my presentation on Friday?,neutral,,,,
tr_3807,2,B,I would love to help you prepare for your presentation.,happy,[2],['I would love to help you prepare for your presentation.'],['no-context'],
tr_3807,3,A,I hate to ask you to do something like that.,neutral,,,,
tr_3807,4,B,This will not interfere with my work. I promise you that.,happy,[2],['I would love to help you prepare for your presentation.'],['self-contagion'],
tr_3807,5,A,When could we get together?,neutral,,,,
tr_3807,6,B,I could easily give you some time tomorrow night.,neutral,,,,
tr_3807,7,A,Would you like to meet me at the coffee house next door?,happy,"[2, 6]","['I would love to help you prepare for your presentation.', 'easily give you some time tomorrow night.']",['inter-personal'],
tr_3807,8,B,"Yes, and could you write down anything you might be having trouble with?",happy,"[2, 6]","['I would love to help you prepare for your presentation.', 'easily give you some time tomorrow night.']",['self-contagion'],
tr_3807,9,A,I'll come prepared.,happy,"[2, 6, 8]","['I would love to help you prepare for your presentation.', 'easily give you some time tomorrow night.', 'write down anything you might be having trouble with?']",['inter-personal'],
tr_3807,10,B,Goodbye until then. I promise you that you'll do well after we meet.,happy,[10],"[""I promise you that you'll do well after we meet.""]",['no-context'],
tr_5174,1,A,"So, Emily, how was your day?",neutral,,,,
tr_5174,2,B,I don't think you really want to hear about it.,sad,['b'],['b'],['latent'],
tr_5174,3,A,It can't have been that bad. Go on and tell me about it.,neutral,,,,
tr_5174,4,B,"To be honest, it was horrible! My manager is such a pain in the neck!",disgust,[4],['it was horrible! My manager is such a pain in the neck!'],['no-context'],
tr_5174,5,A,Why? What happened?,neutral,,,,
tr_5174,6,B,"Well, he made quite a few mistakes on the monthly report and when his supervisor found them, my manager blamed them on me!",angry,[6],"['when his supervisor found them , my manager blamed them on me!']",['no-context'],
tr_5174,7,A,That's not very fair. What did you do?,neutral,,,,
tr_5174,8,B,"There wasn't really anything that I could do. There's always been a lot of bad blood between my manager and myself. If I had said anything, he would have fired me for sure.",disgust,[8],"['If I had said anything , he would have fired me for sure.']",['no-context'],
tr_5174,9,A,Does he treat everyone in your department like this?,neutral,,,,
tr_5174,10,B,"He treats everyone pretty badly, but the way he treats me really takes the cake!",angry,[10],['the way he treats me really takes the cake!'],['no-context'],
tr_5174,11,A,Do you have any idea why he treats you worse than the others?,neutral,,,,
tr_5174,12,B,I really have no idea. All I know is that the thought of him really curls my hair!,angry,[12],['the thought of him really curls my hair!'],['no-context'],
tr_5174,13,A,Is there anyone else you can talk to about it at your company?,neutral,,,,
tr_5174,14,B,Not really. I'm hoping to live with it for a while until I get a promotion.,neutral,,,,
tr_5174,15,A,That's very sensible. It sounds like you have a good head on your shoulders.,neutral,,,,
tr_5174,16,B,"I try to be sensible about it, but it's not very easy. Sometimes you just have to grin and bear it.",neutral,,,,
tr_5174,17,A,"That's so true. When you have a taste for success, you can't let dishonest people like your manager get in the way.",neutral,,,,
tr_3821,1,A,Then I'll take them. How much?,happy,"['b', 1]","['b', ""I'll take them""]","['latent', 'no-context']",
tr_3821,2,B,$ 120. The small gift box is complementary.,happy,[2],['The small gift box is complementary.'],['no-context'],
tr_3821,3,A,Here is $ 150. Keep the change.,happy,"['b', 1, 2]","['b', ""I'll take them"", 'The small gift box is complementary.']","['latent', 'hybrid']",speaker is happy to buy the gift and listener happy to sell it
tr_3821,4,B,Thank you! Have a nice day!,happy,[3],['Keep the change.'],['inter-personal'],
tr_3821,5,A,You too. Bye.,happy,[4],['Have a nice day!'],['inter-personal'],
tr_4915,1,A,"Hello, Helen.",neutral,,,,
tr_4915,2,B,"Hi, Steven.",neutral,,,,
tr_4915,3,A,How are you today?,neutral,,,,
tr_4915,4,B,"I'm very well, Thank you. And you?",happy,"[3, 4]","['How are you today?', ""I'm very well ,""]","['no-context', 'inter-personal']",
